Neighbourhood,Offence Group,Safety Risk
Agincourt North (129),Assault,Low
Agincourt North (129),Auto Theft,Medium
Agincourt North (129),Break and Enter,Low
Agincourt North (129),Robbery,Medium
Agincourt South-Malvern West (128),Assault,Medium
Agincourt South-Malvern West (128),Break and Enter,Medium
Agincourt South-Malvern West (128),Auto Theft,Medium
Agincourt South-Malvern West (128),Robbery,Medium
Alderwood (20),Assault,Low
Alderwood (20),Break and Enter,Medium
Alderwood (20),Auto Theft,Medium
Alderwood (20),Robbery,Low
Annex (95),Assault,High
Annex (95),Break and Enter,High
Annex (95),Robbery,High
Annex (95),Auto Theft,Low
Avondale (153),Assault,Low
Avondale (153),Auto Theft,Low
Avondale (153),Break and Enter,Low
Avondale (153),Robbery,Low
Banbury-Don Mills (42),Assault,Low
Banbury-Don Mills (42),Break and Enter,Medium
Banbury-Don Mills (42),Auto Theft,Medium
Banbury-Don Mills (42),Robbery,Low
Bathurst Manor (34),Assault,Low
Bathurst Manor (34),Auto Theft,Medium
Bathurst Manor (34),Break and Enter,Medium
Bathurst Manor (34),Robbery,Low
Bay-Cloverhill (169),Assault,Medium
Bay-Cloverhill (169),Break and Enter,High
Bay-Cloverhill (169),Robbery,Medium
Bay-Cloverhill (169),Auto Theft,Low
Bayview Village (52),Assault,Low
Bayview Village (52),Break and Enter,Medium
Bayview Village (52),Auto Theft,Medium
Bayview Village (52),Robbery,Low
Bayview Woods-Steeles (49),Assault,Low
Bayview Woods-Steeles (49),Break and Enter,Medium
Bayview Woods-Steeles (49),Auto Theft,Medium
Bayview Woods-Steeles (49),Robbery,Low
Bedford Park-Nortown (39),Break and Enter,High
Bedford Park-Nortown (39),Auto Theft,High
Bedford Park-Nortown (39),Assault,Low
Bedford Park-Nortown (39),Robbery,Low
Beechborough-Greenbrook (112),Assault,High
Beechborough-Greenbrook (112),Break and Enter,Medium
Beechborough-Greenbrook (112),Auto Theft,Medium
Beechborough-Greenbrook (112),Robbery,High
Bendale South (157),Assault,Medium
Bendale South (157),Break and Enter,Medium
Bendale South (157),Auto Theft,Medium
Bendale South (157),Robbery,Medium
Bendale-Glen Andrew (156),Assault,Medium
Bendale-Glen Andrew (156),Auto Theft,High
Bendale-Glen Andrew (156),Robbery,High
Bendale-Glen Andrew (156),Break and Enter,Low
Birchcliffe-Cliffside (122),Assault,Medium
Birchcliffe-Cliffside (122),Break and Enter,Medium
Birchcliffe-Cliffside (122),Auto Theft,Low
Birchcliffe-Cliffside (122),Robbery,Medium
Black Creek (24),Assault,High
Black Creek (24),Auto Theft,High
Black Creek (24),Break and Enter,Low
Black Creek (24),Robbery,Medium
Blake-Jones (69),Assault,Medium
Blake-Jones (69),Break and Enter,Medium
Blake-Jones (69),Robbery,Medium
Blake-Jones (69),Auto Theft,Low
Briar Hill-Belgravia (108),Assault,Medium
Briar Hill-Belgravia (108),Break and Enter,Medium
Briar Hill-Belgravia (108),Auto Theft,Medium
Briar Hill-Belgravia (108),Robbery,Medium
Bridle Path-Sunnybrook-York Mills (41),Break and Enter,High
Bridle Path-Sunnybrook-York Mills (41),Assault,Low
Bridle Path-Sunnybrook-York Mills (41),Auto Theft,Medium
Bridle Path-Sunnybrook-York Mills (41),Robbery,Low
Broadview North (57),Assault,Medium
Broadview North (57),Break and Enter,Low
Broadview North (57),Auto Theft,Low
Broadview North (57),Robbery,Low
Brookhaven-Amesbury (30),Assault,Medium
Brookhaven-Amesbury (30),Auto Theft,Medium
Brookhaven-Amesbury (30),Break and Enter,Medium
Brookhaven-Amesbury (30),Robbery,Medium
